Name,Category,Transactions,Type
Salary,Employment,"Salary (Finance%20Tracker/Databases/Transactions/Salary%20a5d8f5191d5a83759f5f810e6d60278a.html), Salary (Finance%20Tracker/Databases/Transactions/Salary%202088f5191d5a8393b91481007990145b.html), Salary (Finance%20Tracker/Databases/Transactions/Salary%200978f5191d5a8290a92e813511e1c9c7.html), Netflix (Finance%20Tracker/Databases/Transactions/Netflix%20a358f5191d5a82ffb7de81f62e73813a.html), Salary (Finance%20Tracker/Databases/Transactions/Salary%2040f8f5191d5a82f1ba1901e9195ab65d.html)",Income
Internet,Utilities,,Expense
Big Purchases,Savings & Future Planning,,Expense
Long-term Property Rentals,Rental,,Income
Dining Out,Food,,Expense
Electricity,Utilities,,Expense
Car Payment/Gas,Transportation,,Expense
Education,Education,,Expense
Medications,Healthcare,,Expense
Freelance Earnings,Side Hustle,,Income
Bonuses & Commissions,Employment,Bonus (Finance%20Tracker/Databases/Transactions/Bonus%208e78f5191d5a833e8b3281fccd26bf5c.html),Income
Investing,Savings & Future Planning,,Expense
Car Insurance,General Insurance,,Expense
Emergency Fund,Savings & Future Planning,,Expense
Rent/Mortgage,Housing,"Rent (Finance%20Tracker/Databases/Transactions/Rent%207fb8f5191d5a82c0870581dc5fe6e524.html), Rent (Finance%20Tracker/Databases/Transactions/Rent%205618f5191d5a831db188018dd8bd8609.html), Rent (Finance%20Tracker/Databases/Transactions/Rent%206f68f5191d5a833da5d50133738539e7.html), Rent (Finance%20Tracker/Databases/Transactions/Rent%200768f5191d5a83aca1f38109098ada00.html)",Expense
Student Loans,Debt,,Expense
Small Business Profits,Side Hustle,,Income
Online Courses,Side Hustle,,Income
Pension Payments,Retirement,,Income
Interests,Investments,,Income
Gym Membership,Personal,,Expense
Personal Loans,Debt,,Expense
Festivals & Events,Entertainment,,Expense
Financial Planning,Savings & Future Planning,,Expense
Short-term Rentals,Rental,,Income
Clothing,Personal,,Expense
Disability Benefits,Government Assistance,,Income
Public Transport,Transportation,,Expense
Haircuts,Personal,,Expense
Credit Cards,Debt,,Expense
Gifts,Gifts/Donations,,Expense
Health Insurance,Healthcare,,Expense
Life Insurance,General Insurance,,Expense
Dividends,Investments,,Income
Property Taxes,Housing,,Expense
Mobile Plan,Utilities,,Expense
Charities,Gifts/Donations,,Expense
Bars & Drinks,Entertainment,,Expense
Groceries,Food,,Expense
Affiliate Marketing,Side Hustle,,Income
Subscriptions,Entertainment,"Netflix (Finance%20Tracker/Databases/Transactions/Netflix%207668f5191d5a820d8146813f341b15dc.html), Netflix (Finance%20Tracker/Databases/Transactions/Netflix%20cd78f5191d5a834d8725017f3ee21fa0.html)",Expense
Digital Products,Side Hustle,,Income
Movies,Entertainment,,Expense
Vacation,Entertainment,,Expense
Water,Utilities,,Expense
Social Security,Retirement,,Income
Unemployment Benefits,Government Assistance,,Income
Dental Care,Healthcare,,Expense
Retirement,Savings & Future Planning,,Expense
